first_name,last_name,email,Remaining Goal Amount
Cross,Calogero,calogero.cross@mercantini.it,153288.00
Neal,Lauretta,lauretta.neal@hotmail.de,151747.00
Armas,Chantal,chantal.armas@jenkins.net,98164.00
Geisel,Ariadna,ariadna.geisel@rangel.com,88154.00
Kruschwitz,Mathilde,mathilde.kruschwitz@yahoo.com,72323.00
Nicholson,Guillermina,guillermina.nicholson@grondin.fr,71872.00
Gucci,Henry,henry.gucci@leleu.fr,41198.00
Padilla,Gabriela,gabriela.padilla@pearson-russell.com,40291.00
Perrin,Svenja,svenja.perrin@berger.com,8362.00
Reeves,Caroline,caroline.reeves@yahoo.com,3768.00
Clarke,Katarina,katarina.clarke@hotmail.com.au,3739.00
Guerin,Imelda,imelda.guerin@stumpf.net,1559.00
Farrell,Danny,danny.farrell@hotmail.com,1503.00
Carbajal,Tobias,tobias.carbajal@live.com,426.00
